,id_name,division_name,years,month,temp
174,0,Barisal,1915,7,28
175,0,Barisal,1915,8,28
176,0,Barisal,1915,9,27
177,0,Barisal,1915,10,28
178,0,Barisal,1915,11,24
179,0,Barisal,1915,12,19
180,0,Barisal,1916,1,17
181,0,Barisal,1916,2,20
182,0,Barisal,1916,3,25
183,0,Barisal,1916,4,27
184,0,Barisal,1916,5,28
185,0,Barisal,1916,6,27
186,0,Barisal,1916,7,27
187,0,Barisal,1916,8,27
188,0,Barisal,1916,9,28
189,0,Barisal,1916,10,26
190,0,Barisal,1916,11,23
191,0,Barisal,1916,12,18
192,0,Barisal,1917,1,17
193,0,Barisal,1917,2,19
194,0,Barisal,1917,3,23
195,0,Barisal,1917,4,26
196,0,Barisal,1917,5,27
197,0,Barisal,1917,6,27
198,0,Barisal,1917,7,27
199,0,Barisal,1917,8,27
200,0,Barisal,1917,9,27
201,0,Barisal,1917,10,26
202,0,Barisal,1917,11,22
203,0,Barisal,1917,12,18
204,0,Barisal,1918,1,17
205,0,Barisal,1918,2,20
206,0,Barisal,1918,3,24
207,0,Barisal,1918,4,26
208,0,Barisal,1918,5,27
209,0,Barisal,1918,6,26
210,0,Barisal,1918,7,28
211,0,Barisal,1918,8,27
212,0,Barisal,1918,9,28
213,0,Barisal,1918,10,26
214,0,Barisal,1918,11,22
215,0,Barisal,1918,12,18
216,0,Barisal,1919,1,18
217,0,Barisal,1919,2,19
218,0,Barisal,1919,3,25
219,0,Barisal,1919,4,27
220,0,Barisal,1919,5,28
221,0,Barisal,1919,6,28
222,0,Barisal,1919,7,27
223,0,Barisal,1919,8,28
224,0,Barisal,1919,9,27
225,0,Barisal,1919,10,26
226,0,Barisal,1919,11,23
227,0,Barisal,1919,12,18
228,0,Barisal,1920,1,18
229,0,Barisal,1920,2,19
230,0,Barisal,1920,3,24
231,0,Barisal,1920,4,27
232,0,Barisal,1920,5,27
233,0,Barisal,1920,6,28
234,0,Barisal,1920,7,28
235,0,Barisal,1920,8,27
236,0,Barisal,1920,9,27
237,0,Barisal,1920,10,26
238,0,Barisal,1920,11,23
239,0,Barisal,1920,12,19
240,0,Barisal,1921,1,19
241,0,Barisal,1921,2,20
242,0,Barisal,1921,3,25
243,0,Barisal,1921,4,27
244,0,Barisal,1921,5,28
245,0,Barisal,1921,6,27
246,0,Barisal,1921,7,28
247,0,Barisal,1921,8,27
248,0,Barisal,1921,9,28
249,0,Barisal,1921,10,25
250,0,Barisal,1921,11,22
251,0,Barisal,1921,12,19
252,0,Barisal,1922,1,18
253,0,Barisal,1922,2,21
254,0,Barisal,1922,3,25
255,0,Barisal,1922,4,28
256,0,Barisal,1922,5,28
257,0,Barisal,1922,6,27
258,0,Barisal,1922,7,27
259,0,Barisal,1922,8,27
260,0,Barisal,1922,9,27
261,0,Barisal,1922,10,25
262,0,Barisal,1922,11,23
263,0,Barisal,1922,12,19
264,0,Barisal,1923,1,18
265,0,Barisal,1923,2,19
266,0,Barisal,1923,3,24
267,0,Barisal,1923,4,27
268,0,Barisal,1923,5,28
269,0,Barisal,1923,6,28
270,0,Barisal,1923,7,27
271,0,Barisal,1923,8,28
272,0,Barisal,1923,9,28
273,0,Barisal,1923,10,26
274,0,Barisal,1923,11,22
275,0,Barisal,1923,12,19
276,0,Barisal,1924,1,18
277,0,Barisal,1924,2,20
278,0,Barisal,1924,3,26
279,0,Barisal,1924,4,28
280,0,Barisal,1924,5,28
281,0,Barisal,1924,6,29
282,0,Barisal,1924,7,27
283,0,Barisal,1924,8,27
284,0,Barisal,1924,9,27
285,0,Barisal,1924,10,27
286,0,Barisal,1924,11,22
287,0,Barisal,1924,12,19
288,0,Barisal,1925,1,16
289,0,Barisal,1925,2,19
290,0,Barisal,1925,3,24
291,0,Barisal,1925,4,27
292,0,Barisal,1925,5,27
293,0,Barisal,1925,6,27
294,0,Barisal,1925,7,27
295,0,Barisal,1925,8,28
296,0,Barisal,1925,9,27
297,0,Barisal,1925,10,25
298,0,Barisal,1925,11,22
299,0,Barisal,1925,12,18
300,0,Barisal,1926,1,18
301,0,Barisal,1926,2,20
302,0,Barisal,1926,3,23
303,0,Barisal,1926,4,26
304,0,Barisal,1926,5,27
305,0,Barisal,1926,6,28
306,0,Barisal,1926,7,27
307,0,Barisal,1926,8,27
308,0,Barisal,1926,9,28
309,0,Barisal,1926,10,26
310,0,Barisal,1926,11,21
311,0,Barisal,1926,12,19
312,0,Barisal,1927,1,18
313,0,Barisal,1927,2,19
314,0,Barisal,1927,3,23
315,0,Barisal,1927,4,27
316,0,Barisal,1927,5,27
317,0,Barisal,1927,6,28
318,0,Barisal,1927,7,28
319,0,Barisal,1927,8,27
320,0,Barisal,1927,9,27
321,0,Barisal,1927,10,26
322,0,Barisal,1927,11,22
323,0,Barisal,1927,12,19
324,0,Barisal,1928,1,18
325,0,Barisal,1928,2,21
326,0,Barisal,1928,3,25
327,0,Barisal,1928,4,27
328,0,Barisal,1928,5,27
329,0,Barisal,1928,6,27
330,0,Barisal,1928,7,27
331,0,Barisal,1928,8,28
332,0,Barisal,1928,9,28
333,0,Barisal,1928,10,26
334,0,Barisal,1928,11,22
335,0,Barisal,1928,12,19
336,0,Barisal,1929,1,18
337,0,Barisal,1929,2,19
338,0,Barisal,1929,3,25
339,0,Barisal,1929,4,27
340,0,Barisal,1929,5,28
341,0,Barisal,1929,6,28
342,0,Barisal,1929,7,27
343,0,Barisal,1929,8,27
344,0,Barisal,1929,9,27
345,0,Barisal,1929,10,26
346,0,Barisal,1929,11,22
347,0,Barisal,1929,12,18
348,0,Barisal,1930,1,17
349,0,Barisal,1930,2,20
350,0,Barisal,1930,3,24
351,0,Barisal,1930,4,27
352,0,Barisal,1930,5,28
353,0,Barisal,1930,6,27
354,0,Barisal,1930,7,28
355,0,Barisal,1930,8,27
356,0,Barisal,1930,9,28
357,0,Barisal,1930,10,26
358,0,Barisal,1930,11,22
359,0,Barisal,1930,12,18
360,0,Barisal,1931,1,19
361,0,Barisal,1931,2,20
362,0,Barisal,1931,3,24
363,0,Barisal,1931,4,28
364,0,Barisal,1931,5,27
365,0,Barisal,1931,6,28
366,0,Barisal,1931,7,27
367,0,Barisal,1931,8,28
368,0,Barisal,1931,9,27
369,0,Barisal,1931,10,26
370,0,Barisal,1931,11,22
371,0,Barisal,1931,12,19
372,0,Barisal,1932,1,18
373,0,Barisal,1932,2,19
374,0,Barisal,1932,3,25
375,0,Barisal,1932,4,27
376,0,Barisal,1932,5,27
377,0,Barisal,1932,6,28
378,0,Barisal,1932,7,27
379,0,Barisal,1932,8,28
380,0,Barisal,1932,9,28
381,0,Barisal,1932,10,27
382,0,Barisal,1932,11,23
383,0,Barisal,1932,12,19
384,0,Barisal,1933,1,17
385,0,Barisal,1933,2,20
386,0,Barisal,1933,3,25
387,0,Barisal,1933,4,26
388,0,Barisal,1933,5,27
389,0,Barisal,1933,6,27
390,0,Barisal,1933,7,27
391,0,Barisal,1933,8,27
392,0,Barisal,1933,9,28
393,0,Barisal,1933,10,26
394,0,Barisal,1933,11,22
395,0,Barisal,1933,12,19
396,0,Barisal,1934,1,17
